Source,Headline,Link
BBC,Ticketmaster confirms data hack which could affect 560m globally,https://www.bbc.com/news/articles/cw99ql0239wo
BBC,Santander staff and '30 million' customers hacked,https://www.bbc.com/news/articles/c6ppv06e3n8o
BBC,$60m collection of rare cars and sneakers going on auction,https://www.bbc.com/news/articles/c4nn2k81nvro
BBC,How UK's 'fastest' rollercoaster ground to halt within day of opening,https://www.bbc.com/news/articles/ckkknz9zpzgo
BBC,TikTok: Why young people have to delay 'adulting',https://www.bbc.com/news/articles/ckddrky4z5jo
BBC,TikTokers on why they have to delay ‘adulting’,https://www.bbc.com/news/videos/c9wwglpkpl1o
BBC,Santander staff and '30 million' customers hacked,https://www.bbc.com/news/articles/c6ppv06e3n8o
BBC,How India's ancient terracotta pots are helping fight extreme heat,https://www.bbc.com/future/article/20240530-how-ancient-knowledge-of-terracotta-is-cooling-modern-indian-buildings
BBC,The World War Two army that didn't exist,https://www.bbc.com/culture/article/20240531-d-day-deception-operation-fortitude-the-world-war-two-army-that-didnt-exist
BBC,'The death of Slim Shady': Controversial legacy of Eminem's peroxide-blond alter ego,https://www.bbc.com/news/articles/clee3445w0lo
BBC,Bridgerton actress says diversity key to success,https://www.bbc.com/news/articles/crgg2rlzv5vo
BBC,Jolie and Pitt's daughter Shiloh seeks name change,https://www.bbc.com/news/articles/cyjjymklnvmo
BBC,Man City want to tie down Haaland - Sunday's gossip,https://www.bbc.com/sport/football/articles/cq55qdrzeleo
BBC,Emotional Bellingham 'couldn't have dreamed it better',https://www.bbc.com/sport/football/articles/c977jlqz0g4o
BBC,Britain's Ball wins world title in thriller,https://www.bbc.com/sport/articles/cqllz552j4po
BBC,'See you tomorrow' - Mourinho set to be named Fenerbahce boss,https://www.bbc.com/sport/football/articles/c1een240ql1o
BBC,The mutant wildlife adapting to New York City,https://www.bbc.com/future/article/20240531-the-mutant-wildlife-adapting-to-new-york-city
BBC,World record broken for living thing with most DNA,https://www.bbc.com/news/articles/cl44g57jv4mo
BBC,How India's ancient terracotta pots are helping fight extreme heat,https://www.bbc.com/future/article/20240530-how-ancient-knowledge-of-terracotta-is-cooling-modern-indian-buildings
BBC,Is it better to buy in bulk?,https://www.bbc.com/future/article/20240528-buying-groceries-in-bulk-is-better-for-the-planet
BBC,World record broken for living thing with most DNA,https://www.bbc.com/news/articles/cl44g57jv4mo
BBC,At-home saliva test may catch deadly prostate cancers,https://www.bbc.com/news/articles/cw44e32veg3o
BBC,How a sports broadcaster became a voice for those who stutter,https://www.bbc.com/news/articles/c0vvq1733g4o
BBC,Geek Girl: The teen drama tackling neurodiversity ,https://www.bbc.com/news/articles/cl447njkdy6o
BBC,The wild ceremonies of the Turkish 'meatball',https://www.bbc.com/travel/article/20240531-the-wild-ceremonies-surrounding-a-turkish-meatball
BBC,A chicken recipe so good its origin is being fought in court,https://www.bbc.com/travel/article/20240528-a-chicken-recipe-so-good-its-origin-is-being-fought-in-court
BBC,What will we eat on the Moon?,https://www.bbc.com/travel/article/20240525-what-will-we-eat-on-the-moon-the-food-is-literally-out-of-this-world
BBC,Portugal's take on beef bourguignon,https://www.bbc.com/travel/article/20240519-portugals-take-on-beef-bourguignon
BBC,Turkey's new train route through history,https://www.bbc.com/travel/article/20240531-turkeys-new-mesopotamia-express-train
BBC,New Zealand's 61km hike to the top of the world,https://www.bbc.com/travel/article/20240531-why-new-zealands-newest-great-walk-is-so-important
BBC,The world's biggest snail-eating festival,https://www.bbc.com/travel/article/20240529-a-new-record-at-the-worlds-biggest-snail-eating-festival
BBC,The US town built by and for Chinese people,https://www.bbc.com/travel/article/20240529-the-only-town-in-the-us-built-for-chinese-people
CNN,"Netanyahu says no Gaza ceasefire until Israel’s war aims are achieved, raising questions over Biden peace proposal",/2024/06/01/europe/netenyahu-ceasefire-hamas-contradiction-biden-intl/index.html
CNN,"UK ambassador to Mexico sacked after pointing gun at colleague, FT reports",/2024/06/01/uk/uk-ambassador-mexico-fired-gun-intl/index.html
CNN,Mexico’s historic election is this weekend. Here’s what to know,/2024/06/01/americas/mexico-election-explainer-intl-latam/index.html
CNN,Zelensky makes surprise stop at Singapore defense gathering as Ukraine pushes for its peace plan amid Russian advance,/2024/06/01/asia/zelensky-shangri-la-dialogue-singapore-intl-hnk/index.html
CNN,Why Mexico’s election is more important than ever for the United States,/2024/05/31/americas/mexico-elections-us-relationship-analysis-intl-latam/index.html
CNN,"Israel confirms its forces are in central Rafah, defying international condemnation of operation in southern Gazan city",/2024/05/31/middleeast/idf-central-rafah-intl/index.html
CNN,"The US allows Ukraine to use its weapons to strike inside Russia, but it is unlikely to be a game-changer",/2024/05/31/europe/us-weapons-ukraine-strike-russia-kharkiv-intl/index.html
CNN,Trump’s European allies rally around him after historic conviction,/2024/05/31/europe/donald-trump-conviction-european-allies-reaction-intl/index.html
